Country code,GDP 60,GDP 65,GDP 70,GDP 75,GDP 80,GDP 85,Worker 60,Worker 65,Worker 70,Worker 75,Worker 80,Worker 85,Life expectation 60,Life expectation 65,Life expectation 70,Life expectation 75,Life expectation 80,Life expectation 85,Expenses on education 60-65,Expenses on education 65-70,Expenses on education 70-75,Expenses on education 75-80,Expenses on education 80-85,Expenses on defense 60-65,Expenses on defense 65-70,Expenses on defense 70-75,Expenses on defense 75-80,Expenses on defense 80-85,Average school years 60,Average school years 65,Average school years 70,Average school years 75,Average school years 80,Average school years 85,Political Instability 60-65,Political Instability 65-70,Political Instability 70-75,Political Instability 75-80,Political Instability 80-85,Civil Liberties 70-75,Civil Liberties 75-80,Civil Liberties 80-85,Civil Liberties 85-90,Political rights 70-75,Political rights 75-80,Political rights 80-85,Political rights 85-90,Population 60,Population 65,Population 70,Population 75,Population 80,Population 85,Export 60-65,Export 65-70,Export 70-75,Export 75-80,Export 80-85,Import 60-65,Import 65-70,Import 70-75,Import 75-80,Import 80-85
62,1255,1604,2093,2417,2810,2912,0.3336,0.3342,0.3364,0.3328,0.3359,0.3486,60.9,63.3,65.5,68.1,70.3,71.6,0.0379,0.0421,0.0565,0.0539,0.0479,0.005,0.005,0.008,0.012,0.014,4.263,4.295,4.56,5.135,5.982,6.3,0,0.369,0.0655,0,0,7,6,4.4,6,6,5.4,4,4.4,1148,1326,1531,1748,1956,2180,0.258,0.2693,0.2426,0.2676,0.2503,0.2866,0.2774,0.2743,0.3068,0.268
65,4904,5791,6957,5591,7161,6884,0.3621,0.3294,0.3319,0.3516,0.3626,0.3797,63.9,65.3,66.2,67.1,68.2,69.4,0.0221,0.0345,0.0403,0.0353,0.0517,0.004,0.003,0.003,0.012,0.024,4.599,4.608,4.56,5.3,6.599,6.503,    ,0,0.1,0,0,2,2,1.4,1,2.333333,2,2,1.4,843,896,971,1012,1082,1178,0.377,0.2637,0.2399,0.271,0.252,0.3047,0.23,0.2111,0.2084,0.253
66,7380,8634,9459,10197,11404,12532,0.405,0.4111,0.4254,0.4533,0.4825,0.4881,69.8,70.2,70.8,72.6,73.7,74.9,0.0474,0.0561,0.0637,0.0626,0.0674,0.088,0.087,0.067,0.054,0.061,8.667,9.359,10.143,10.771,11.888,11.787,0.001585,0.00253,0.000468,0.001385,1,1,1,1,1,1,1,1,1,180671,194303,205051,215972,227757,239283,0.0594,0.0614,0.0783,0.1042,0.1165,0.046,0.053,0.0703,0.0961,0.1137
67,3091,3470,4002,4214,4342,3486,0.3934,0.3906,0.3897,0.3765,0.3649,0.3588,65.2,65.8,66.8,68.1,69.3,70.2,0.0236,0.024,0.0243,0.0248,0.0311,0.021,0.02,0.017,0.045,0.053,4.985,5.336,5.893,6.024,6.63,6.676,0.90485,0.10845,0.6065,0.402,1,3.333333,5.6,4.6,2,3.666667,5.2,4,1.4,20616,22283,23962,26052,28237,30331,0.0524,0.0515,0.0625,0.086,0.0884,0.0523,0.0415,0.0578,0.0681,0.0816
68,882,1022,1237,1485,1529,1089,0.3454,0.3367,0.3267,0.3203,0.3122,0.3119,42.8,44.4,46.1,47.9,49.9,52.2,0.0161,0.0277,0.041,0.0393,0.0253,0.016,0.019,0.016,0.029,0.042,3.089,3.774,3.656,3.745,3.971,4.285,0.32665,0.32605,1.0685,0.3,0,5.666667,5.2,4,2.2,4.666667,3.6,3.8,3,3428,3841,4325,4894,5570,6371,0.056,0.0845,0.1071,0.1331,0.1668,0.0826,0.1017,0.1028,0.1554,0.1243
69,991,1391,1782,2589,3356,3282,0.3215,0.3219,0.3291,0.3458,0.3648,0.3662,54.9,57.1,59,61,62.8,64.3,0.0179,0.0255,0.0293,0.0307,0.0356,0.017,0.026,0.02,0.01,0.008,2.642,2.605,2.92,2.78,2.976,3.486,0.2,0.00214,0,0,0,4.333333,4,3.4,2.2,4.333333,4.4,3,2.2,72594,84292,95847,108032,121286,135564,0.027,0.0296,0.0357,0.043,0.0517,0.0275,0.0274,0.0466,0.0551,0.0485
70,2932,3347,3687,2976,4271,3486,0.3258,0.3153,0.311,0.3223,0.3378,0.3528,57.3,59.6,62.4,65.7,69.5,71.3,0.0335,0.0361,0.0473,0.0297,0.0465,0.023,0.02,0.031,0.049,0.082,4.997,5.018,5.383,5.554,5.986,6.45,0,0.1,0.251,0.1284,1,5,6.6,6,5.2,4,5,5,4.4,7614,8579,9504,10350,11145,12122,0.0804,0.0856,0.0783,0.1165,0.1258,0.093,0.079,0.0847,0.1229,0.1477
71,1344,1439,1711,2113,2552,2599,0.3026,0.2947,0.2928,0.3002,0.3087,0.3236,53.2,56.3,59.1,61,63.1,65,0.0252,0.0102,0.032,0.0216,0.0258,0.017,0.019,0.014,0.012,0.021,2.677,3.001,3.114,3.975,4.233,4.533,0,0,0,0.01245,1,2,2,2,2.4,2,3,3,3.2,15939,18506,21360,23991,26906,29879,0.0617,0.0517,0.0525,0.0687,0.0572,0.0678,0.0556,0.0572,0.0576,0.0671
72,1143,1238,1403,2154,2607,2387,0.3166,0.3107,0.31,0.3041,0.3002,0.3027,53.4,56,58,60.4,63.1,65,0.0181,0.0314,0.037,0.0349,0.0417,0.021,0.019,0.02,0.021,0.017,2.952,3.183,3.101,3.987,5.401,5.584,0.3,0.1,0.3,0.2,0,7,5.2,2,2,4.333333,4,2,2.6,4413,5162,6051,7035,8123,9317,0.0775,0.068,0.0906,0.1215,0.1174,0.078,0.0805,0.0959,0.1367,0.1099
73,1386,1346,1546,1802,1623,1259,0.3011,0.2956,0.2985,0.3299,0.3815,0.4266,60.2,61.9,64.7,65.4,65.3,65.9,0.032,0.0427,0.0519,0.071,0.082,0.033,0.008,0.013,0.035,0.078,4.514,4.188,3.971,4.357,4.603,5.109,    ,0,0,0.2655,0,3.333333,3.6,4.8,5,2.666667,3.2,4.4,4.8,569,645,709,734,759,790,0.3964,0.364,0.3356,0.3055,0.2666,0.362,0.3699,0.348,0.3486,0.3351
